ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,annual_departure_count,median_monthly_dep_cnt,mean_monthly_dep_cnt,airline_count,median_dep_delay,mean_dep_delay,annual_cancellations,pct_flts_cx
10135,ABE,"Allentown/Bethlehem/Easton, PA",PA,5317,454,443,9,-4,12,174,3.27
10136,ABI,"Abilene, TX",TX,1981,168,165,1,-4,8,41,2.07
10140,ABQ,"Albuquerque, NM",NM,27676,2302,2306,17,-2,8,266,0.96
10141,ABR,"Aberdeen, SD",SD,737,60,61,1,-6,8,8,1.09
10146,ABY,"Albany, GA",GA,1007,86,84,2,-4,15,11,1.09
10154,ACK,"Nantucket, MA",MA,1119,165,186,4,-3,26,68,6.08
10155,ACT,"Waco, TX",TX,1534,131,128,1,-5,5,59,3.85
10157,ACV,"Arcata/Eureka, CA",CA,1429,130,119,1,-5,14,49,3.43
10158,ACY,"Atlantic City, NJ",NJ,3248,266,271,1,-5,7,40,1.23
10165,ADK,"Adak Island, AK",AK,101,8,8,1,-6,4,3,2.97
10170,ADQ,"Kodiak, AK",AK,618,52,52,1,-9,-3,18,2.91
10185,AEX,"Alexandria, LA",LA,3358,284,280,4,-6,7,45,1.34
10208,AGS,"Augusta, GA",GA,4863,394,405,9,-3,12,109,2.24
10245,AKN,"King Salmon, AK",AK,63,28,21,1,-4,2,0,0
10257,ALB,"Albany, NY",NY,16603,1401,1384,19,-4,9,438,2.64
10268,ALO,"Waterloo, IA",IA,655,56,55,1,-4,8,22,3.36
10275,ALW,"Walla Walla, WA",WA,895,76,75,1,-3,7,28,3.13
10279,AMA,"Amarillo, TX",TX,5920,506,493,7,-5,7,113,1.91
10299,ANC,"Anchorage, AK",AK,19371,1424,1614,7,-6,0,232,1.2
10333,APN,"Alpena, MI",MI,608,51,51,1,-5,13,14,2.3
10361,ART,"Watertown, NY",NY,646,56,54,2,-7,9,80,12.38
10372,ASE,"Aspen, CO",CO,6407,474,534,1,-7,14,447,6.98
10397,ATL,"Atlanta, GA",GA,388540,32910,32378,17,-1,10,2527,0.65
10408,ATW,"Appleton, WI",WI,6259,549,522,9,-5,8,103,1.65
