ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,annual_number_of_flights,distance
10135,10397,963,692
10135,11057,912,481
10135,11433,914,425
10135,11697,72,1041
10135,13577,84,518
10135,13930,751,655
10135,14082,144,1018
10135,14100,873,55
10135,14112,158,970
10135,14761,441,882
10136,11298,1981,158
10140,10397,850,1269
10140,10423,385,619
10140,10821,546,1670
10140,11259,1669,580
10140,11292,2854,349
10140,11298,2698,569
10140,12191,1034,759
10140,12266,1297,744
10140,12478,307,1826
10140,12889,1465,486
10140,12892,2727,677
10140,13198,370,718
10140,13204,117,1553
10140,13232,689,1121
10140,13487,205,981
10140,13796,865,889
10140,13930,1246,1118
10140,14057,458,1111
10140,14107,3627,328
10140,14679,1044,628
10140,14683,19,609
10140,14747,603,1180
10140,14771,1117,896
10140,14831,47,870
10140,14869,1028,493
10140,14908,398,650
10141,13487,737,257
10146,10397,1007,145
10154,10721,167,91
10154,11057,10,723
10154,11278,171,405
10154,11618,182,218
10154,12478,468,199
10154,12953,121,202
10155,11298,1534,89
10157,12892,208,577
10157,14771,1221,250
10158,10397,189,679
10158,11697,854,977
10158,13204,722,852
10158,13495,111,1103
10158,13577,356,466
10158,14027,150,936
10158,14635,502,982
10158,15304,364,913
10165,10299,101,1192
10170,10299,618,253
10185,10397,1319,500
10185,11298,1031,285
10185,12266,1008,190
10208,10397,2665,143
10208,11057,2143,140
10208,11278,15,468
10208,11298,9,874
10208,12953,16,678
10208,13930,7,677
10208,14100,8,583
10245,10299,63,288
10257,10397,1018,853
10257,10821,1871,289
10257,11057,996,646
10257,11278,1316,318
10257,11292,361,1610
10257,11433,1222,489
10257,11618,1696,143
10257,11697,610,1204
10257,12264,958,325
10257,12889,27,2237
10257,13204,1056,1073
10257,13232,710,717
10257,13487,254,980
10257,13930,2242,723
10257,14082,7,1185
10257,14100,1795,212
10257,14112,12,1138
10257,14635,48,1205
10257,14761,8,1049
10257,15304,390,1130
10268,13930,655,234
10275,14747,894,213
10279,11259,1341,323
10279,11292,671,359
10279,11298,2213,312
10279,12266,1064,517
10279,12889,364,758
10279,14107,267,602
10299,10165,101,1192
10299,10170,618,253
10299,10245,63,288
10299,10397,115,3417
10299,10551,811,399
10299,10926,360,160
10299,11292,456,2405
10299,11298,119,3043
10299,11336,81,329
10299,11445,763,792
10299,11618,14,3370
10299,11630,2392,261
10299,12173,364,2777
10299,12266,75,3266
10299,12523,1307,571
10299,12758,61,2874
10299,12889,7,2304
10299,12892,472,2345
10299,13487,532,2519
10299,13830,73,2797
10299,13873,394,539
10299,13930,555,2846
10299,13970,649,548
10299,14057,1108,1542
10299,14107,172,2552
10299,14709,720,626
10299,14747,6791,1448
10299,14771,101,2018
10299,14869,58,2125
10333,11433,355,198
10333,14150,245,69
10361,14100,646,287
10372,10397,99,1304
10372,11292,2203,125
10372,11298,603,701
10372,12266,432,913
10372,12892,1029,737
10372,13487,25,802
10372,13930,886,1013
10372,14107,85,491
10372,14771,321,848
10372,14869,722,292
10397,10135,964,692
10397,10140,850,1269
10397,10146,1007,145
10397,10158,189,679
10397,10185,1317,500
10397,10208,2661,143
10397,10257,1018,853
10397,10299,116,3417
10397,10372,99,1304
10397,10408,666,765
10397,10423,3772,813
10397,10431,2374,164
10397,10434,351,714
10397,10529,2281,859
10397,10599,3395,134
10397,10685,1006,533
10397,10693,4122,214
10397,10721,6833,946
10397,10731,1028,238
10397,10781,2269,448
10397,10785,396,961
10397,10792,1645,712
10397,10821,6813,577
10397,10849,106,1640
10397,10868,2655,192
10397,10874,1024,528
10397,10980,3238,106
10397,10990,1649,457
10397,10994,3494,259
10397,11003,893,694
10397,11042,3566,554
10397,11057,6266,226
10397,11066,3757,447
10397,11109,399,1184
10397,11146,1595,363
10397,11150,1264,83
10397,11193,2801,373
10397,11252,1751,366
10397,11259,3426,721
10397,11267,1376,432
10397,11278,7009,547
10397,11292,5846,1199
10397,11298,6947,731
10397,11308,1367,170
10397,11423,1040,743
10397,11433,5656,594
10397,11481,1981,240
10397,11503,105,1312
10397,11537,10,717
10397,11540,859,1282
10397,11612,1050,350
10397,11617,699,433
10397,11618,6392,746
10397,11624,1663,646
10397,11637,22,1123
10397,11641,1670,331
10397,11648,12,1842
10397,11697,8587,581
10397,11721,1016,645
10397,11775,309,954
10397,11778,680,579
10397,11823,1403,508
10397,11953,2380,300
10397,11973,1428,352
10397,11977,512,774
10397,11982,20,803
10397,11986,1673,640
10397,11995,2712,306
10397,11996,3756,153
10397,12007,1016,241
10397,12094,96,1340
10397,12173,364,4502
10397,12191,4099,696
10397,12197,2083,780
10397,12217,2532,151
10397,12264,4331,534
10397,12266,5251,689
10397,12278,1038,782
10397,12323,1762,377
10397,12339,4119,432
10397,12391,70,795
10397,12441,117,1572
10397,12448,2246,341
10397,12451,5269,270
10397,12478,3222,760
10397,12889,4653,1747
10397,12892,6597,1947
10397,12945,2508,304
10397,12951,1267,503
10397,12953,9372,762
10397,12992,2227,453
10397,13029,259,841
10397,13198,4105,692
10397,13204,9298,404
10397,13230,1016,620
10397,13232,4109,591
10397,13244,3433,332
10397,13277,2284,147
10397,13296,356,952
10397,13303,6516,594
10397,13342,3150,669
10397,13360,1543,442
10397,13367,1041,633
10397,13377,1306,448
10397,13422,2375,302
10397,13485,1163,707
10397,13486,13,1800
10397,13487,4914,907
10397,13495,5480,425
10397,13502,43,1352
10397,13577,1322,317
10397,13795,1268,399
10397,13796,430,2130
10397,13851,1975,761
10397,13871,1727,821
10397,13930,8281,606
10397,13931,2880,516
10397,14027,4252,545
10397,14057,1320,2172
10397,14098,1102,508
10397,14100,6467,666
10397,14107,3424,1587
10397,14108,1024,565
10397,14122,3478,526
10397,14193,2719,271
10397,14262,11,1840
10397,14307,1050,903
10397,14321,657,1027
10397,14457,17,1230
10397,14492,5249,356
10397,14524,4251,481
10397,14570,24,1993
10397,14574,1628,357
10397,14576,1025,749
10397,14633,512,831
10397,14635,3589,515
10397,14679,2328,1892
10397,14683,3354,874
10397,14685,3474,214
10397,14696,1400,566
10397,14730,2797,321
10397,14747,3077,2182
10397,14771,3271,2139
10397,14783,1370,563
10397,14814,2121,551
10397,14831,1098,2116
10397,14843,1366,1547
10397,14869,3057,1590
10397,14893,982,2092
10397,14908,1154,1919
10397,14986,2280,444
10397,15016,4094,484
10397,15024,390,1599
10397,15027,81,1638
10397,15096,1024,794
10397,15249,2292,223
10397,15304,6982,406
10397,15323,2165,227
10397,15356,294,701
10397,15370,1608,674
10397,15376,682,1541
10397,15380,36,769
10397,15412,2923,152
10397,15607,1030,208
10397,15624,2233,250
10397,15919,1929,589
10408,10397,662,765
10408,10466,99,1452
10408,11292,206,883
10408,11433,1137,296
10408,12889,106,1510
10408,13487,1211,236
10408,13930,2605,160
10408,14082,14,1250
10408,14112,99,1173
10408,14761,120,1141
10423,10140,384,619
10423,10397,3771,813
10423,10693,866,756
10423,10721,1034,1698
10423,10792,71,1366
10423,10821,707,1342
10423,10994,62,1055
10423,11042,127,1174
10423,11057,1606,1032
10423,11066,107,1073
10423,11193,411,958
10423,11259,3361,189
10423,11278,356,1315
10423,11292,3665,775
10423,11298,3845,190
10423,11433,1066,1149
10423,11481,31,710
10423,11540,893,528
10423,11618,1810,1504
10423,11697,947,1105
10423,12191,1832,148
10423,12206,347,273
10423,12264,1198,1297
10423,12266,3091,140
10423,12339,204,919
10423,12451,76,954
10423,12478,2142,1521
10423,12889,1655,1090
10423,12892,3916,1242
10423,12896,349,341
10423,12917,52,1065
10423,12954,459,1226
10423,13198,357,650
10423,13204,1225,994
10423,13232,1013,972
10423,13244,54,559
10423,13303,1003,1103
10423,13342,94,1032
10423,13487,1016,1042
10423,13495,850,444
10423,13796,362,1497
10423,13871,60,772
10423,13891,176,1196
10423,13930,2538,977
10423,14057,511,1715
10423,14100,812,1430
10423,14107,2851,872
10423,14112,65,920
10423,14122,65,1210
10423,14193,9,626
10423,14307,33,1662
10423,14492,434,1162
10423,14570,62,1405
10423,14679,1441,1164
10423,14730,26,876
10423,14747,1142,1770
10423,14761,91,994
10423,14771,2365,1504
10423,14831,1278,1476
10423,14869,923,1086
10423,14893,264,1481
10423,14908,67,1209
10423,15016,663,721
10423,15304,457,928
10423,15624,53,666
10431,10397,2373,164
10431,10821,80,414
10431,11057,2217,91
10431,11292,33,1248
10431,11298,11,848
10431,11618,490,583
10431,11697,509,660
10431,12953,15,599
10431,13204,53,488
10431,13930,1117,536
10431,14082,174,588
10431,14112,287,519
10431,14761,251,465
10431,15304,36,514
10434,10397,351,714
10434,11057,1121,509
10434,11433,860,399
10434,11618,486,93
10434,12264,168,189
10434,13930,1041,632
10434,14100,1128,104
10434,14112,1,1006
10434,14761,1,920
10466,10408,99,1452
10466,10620,145,878
10466,10627,162,1092
10466,10666,160,1208
10466,10676,65,1272
10466,10713,105,749
10466,10849,118,861
10466,11003,196,1240
10466,11193,108,1553
10466,11423,145,1138
10466,11603,119,971
10466,11637,214,1220
10466,11775,244,1072
10466,11823,73,1546
10466,11898,84,1260
10466,11980,107,905
10466,11986,136,1561
10466,12003,113,978
10466,12278,111,855
10466,12280,145,704
10466,12339,27,1473
10466,12889,153,276
10466,13198,42,1030
10466,13244,21,1245
10466,13264,26,875
10466,13342,35,1448
10466,13367,98,1288
10466,13433,143,1164
10466,13486,132,948
10466,13796,159,668
10466,13829,106,544
10466,13871,93,1026
10466,14108,153,1312
10466,14112,45,1760
10466,14252,115,977
10466,14314,418,477
10466,14457,161,873
10466,14512,136,1373
10466,14696,104,1501
10466,14716,104,625
10466,14730,38,1490
10466,14783,138,1066
10466,14794,16,278
10466,15008,101,1259
10469,11433,1582,113
10469,13487,563,426
10469,13930,1832,122
10529,10397,2281,859
10529,10821,2287,283
10529,11042,272,476
10529,11057,2070,644
10529,11193,283,661
10529,11278,2696,313
10529,11292,742,1671
10529,11298,652,1471
10529,11433,1345,549
10529,11618,725,116
10529,11697,1599,1173
10529,12264,1399,326
10529,12266,102,1507
10529,12889,229,2297
10529,12892,301,2527
10529,13204,2373,1050
10529,13232,919,777
10529,13303,351,1194
10529,13487,1202,1050
10529,13577,266,664
10529,13930,2685,783
10529,14027,365,1133
10529,14100,1960,196
10529,14492,294,532
10529,14635,632,1180
10529,14771,90,2625
10529,14843,504,1666
10529,15016,147,957
10529,15304,1272,1111
10551,10299,810,399
10558,11292,570,150
10561,11292,704,845
10561,14107,1023,425
10561,14771,574,238
